#Name	Mass	R	v	a
alpha	1	5.76062	-0.0281337	-1.62006e-05
alpha	1	5.73241	-0.0282965	-1.63605e-05
alpha	1	5.70404	-0.0284609	-1.65236e-05
alpha	1	5.6755	-0.028627	-1.66902e-05
alpha	1	5.6468	-0.0287947	-1.68603e-05
alpha	1	5.61793	-0.0289642	-1.7034e-05
alpha	1	5.58889	-0.0291354	-1.72115e-05
alpha	1	5.55967	-0.0293084	-1.73929e-05
alpha	1	5.53029	-0.0294833	-1.75782e-05
alpha	1	5.50072	-0.02966	-1.77677e-05
alpha	1	5.47098	-0.0298386	-1.79614e-05
alpha	1	5.44106	-0.0300192	-1.81595e-05
alpha	1	5.41096	-0.0302019	-1.83621e-05
alpha	1	5.38067	-0.0303865	-1.85694e-05
alpha	1	5.3502	-0.0305733	-1.87815e-05
alpha	1	5.31954	-0.0307622	-1.89986e-05
alpha	1	5.28869	-0.0309532	-1.92209e-05
alpha	1	5.25765	-0.0311466	-1.94485e-05
alpha	1	5.22642	-0.0313422	-1.96817e-05
alpha	1	5.19498	-0.0315402	-1.99206e-05
alpha	1	5.16335	-0.0317407	-2.01654e-05
alpha	1	5.13152	-0.0319436	-2.04164e-05
alpha	1	5.09948	-0.032149	-2.06737e-05
alpha	1	5.06724	-0.0323571	-2.09376e-05
alpha	1	5.03479	-0.0325678	-2.12084e-05
alpha	1	5.00212	-0.0327813	-2.14863e-05
alpha	1	4.96924	-0.0329975	-2.17716e-05
alpha	1	4.93615	-0.0332167	-2.20645e-05
alpha	1	4.90283	-0.0334389	-2.23654e-05
alpha	1	4.86929	-0.0336641	-2.26746e-05
alpha	1	4.83552	-0.0338924	-2.29924e-05
alpha	1	4.80152	-0.0341239	-2.33191e-05
alpha	1	4.76729	-0.0343588	-2.36552e-05
alpha	1	4.73283	-0.0345971	-2.4001e-05
alpha	1	4.69812	-0.0348388	-2.43569e-05
alpha	1	4.66317	-0.0350842	-2.47234e-05
alpha	1	4.62797	-0.0353334	-2.51009e-05
alpha	1	4.59252	-0.0355863	-2.54899e-05
alpha	1	4.55682	-0.0358432	-2.58909e-05
alpha	1	4.52086	-0.0361042	-2.63044e-05
alpha	1	4.48463	-0.0363693	-2.67311e-05
alpha	1	4.44814	-0.0366388	-2.71715e-05
alpha	1	4.41138	-0.0369128	-2.76262e-05
alpha	1	4.37434	-0.0371914	-2.80961e-05
alpha	1	4.33702	-0.0374748	-2.85817e-05
alpha	1	4.29941	-0.0377631	-2.90838e-05
alpha	1	4.26152	-0.0380565	-2.96034e-05
alpha	1	4.22333	-0.0383552	-3.01412e-05
alpha	1	4.18483	-0.0386594	-3.06983e-05
alpha	1	4.14603	-0.0389692	-3.12755e-05
alpha	1	4.10692	-0.039285	-3.18741e-05
alpha	1	4.06749	-0.0396068	-3.24951e-05
alpha	1	4.02773	-0.039935	-3.31397e-05
alpha	1	3.98765	-0.0402697	-3.38093e-05
alpha	1	3.94722	-0.0406112	-3.45054e-05
alpha	1	3.90645	-0.0409599	-3.52294e-05
alpha	1	3.86533	-0.0413159	-3.59829e-05
alpha	1	3.82385	-0.0416796	-3.67679e-05
alpha	1	3.782	-0.0420514	-3.7586e-05
alpha	1	3.73978	-0.0424315	-3.84395e-05
alpha	1	3.69717	-0.0428203	-3.93306e-05
alpha	1	3.65417	-0.0432182	-4.02617e-05
alpha	1	3.61077	-0.0436257	-4.12355e-05
alpha	1	3.56695	-0.0440431	-4.22547e-05
alpha	1	3.52272	-0.0444709	-4.33226e-05
alpha	1	3.47805	-0.0449097	-4.44426e-05
alpha	1	3.43293	-0.04536	-4.56183e-05
alpha	1	3.38736	-0.0458223	-4.6854e-05
alpha	1	3.34133	-0.0462973	-4.8154e-05
alpha	1	3.29481	-0.0467856	-4.95233e-05
alpha	1	3.2478	-0.047288	-5.09674e-05
alpha	1	3.20027	-0.0478052	-5.24923e-05
alpha	1	3.15223	-0.0483381	-5.41047e-05
alpha	1	3.10364	-0.0488876	-5.5812e-05
alpha	1	3.0545	-0.0494547	-5.76224e-05
alpha	1	3.00478	-0.0500405	-5.95451e-05
alpha	1	2.95446	-0.050646	-6.15904e-05
alpha	1	2.90353	-0.0512727	-6.377e-05
alpha	1	2.85197	-0.0519219	-6.60969e-05
alpha	1	2.79974	-0.0525952	-6.85859e-05
alpha	1	2.74683	-0.0532942	-7.12536e-05
alpha	1	2.69321	-0.0540209	-7.41192e-05
alpha	1	2.63885	-0.0547774	-7.72045e-05
alpha	1	2.58371	-0.0555658	-8.05346e-05
